	seqid	db	taxid	lineage
WP_052289956.1			1245922	
Synechococcus_PCC_6716			32048	
Synechococcus_PCC_6717			115741	
NZ_CP018092.1_prot_WP_099799411.1_2103			33070	
Cyanothece_sp_PCC_7425			395961	
NZ_AP018202.1_prot_WP_126984835.1_8			32053	
NZ_JJML01000036.1_prot_WP_052128762.1_2284			1501145	
CP006735.1_prot_AHB89148.1_1755			1394889	
NZ_CH724158.1_prot_WP_007100847.1_828			221360	
NZ_ADXL01000065.1_prot_WP_010309903.1_1141			232348	
MWMJ01000016.1_prot_OUE49294.1_331			1910957	
Candidatus_Synechococcus_calcipolaris			1522304	
Chroococcidiopsis_thermalis_PCC_7203	Chroococcidiopsis_thermalis_PCC_7203		54299	
Synechococcus_sp_PCC_6312	Synechococcus_sp_PCC_6312		195253	
Thermosynechococcus_elongatus	Thermosynechococcus_elongatus		146785	
UniRef100_A0A098TJ90	A0A098TJ90	uniprot	1497020	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;Neosynechococcus;Neosynechococcus sphagnicola
UniRef100_A0A2D2Q3J4	A0A2D2Q3J4	uniprot	1917166	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Thermostichales;Thermostichaceae;Thermostichus;Thermostichus lividus
UniRef100_B8HLW5	B8HLW5	uniprot	395961	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Cyanothecaceae;Cyanothece;unclassified Cyanothece
UniRef100_K9S008	K9S008	uniprot	195253	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus
UniRef100_V5V6W9	V5V6W9	uniprot	1394889	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Thermosynechococcaceae;Thermosynechococcus;unclassified Thermosynechococcus
UniRef100_A0A098TKN0	A0A098TKN0	uniprot	1497020	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Pseudanabaenales;Leptolyngbyaceae;Neosynechococcus;Neosynechococcus sphagnicola
UniRef100_A0A3C1G0E3	A0A3C1G0E3	uniprot	2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae
UniRef100_A0A552LCK1	A0A552LCK1	uniprot	2486241	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis wesenbergii
UniRef100_A0A7V6A599	A0A7V6A599	uniprot	60893	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophales;Syntrophaceae;Desulfobacca
UniRef100_E0UI06	E0UI06	uniprot	497965	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece verrucosa
UniRef100_K9RVG3	K9RVG3	uniprot	195253	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus
UniRef100_A0A0F2J4I4	A0A0F2J4I4	uniprot	1609970	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Candidatus Magnetoovum
UniRef100_A0A109CWR9	A0A109CWR9	uniprot		
UniRef100_A0A177E720	A0A177E720	uniprot	1795632	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfatator
UniRef100_A0A1E4FCY9	A0A1E4FCY9	uniprot	1660164	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified Nitrosomonadales
UniRef100_A0A1E4FHM4	A0A1E4FHM4	uniprot	1660164	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;unclassified Nitrosomonadales
UniRef100_A0A1E7HD06	A0A1E7HD06	uniprot	1866913	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;unclassified Desulfobacterales
UniRef100_A0A1G1DAK6	A0A1G1DAK6	uniprot	1801683	cellular organisms;Bacteria;Nitrospinae/Tectomicrobia group;Nitrospinae;unclassified Nitrospinae
UniRef100_A0A1G1H2U6	A0A1G1H2U6	uniprot	1801709	cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae
UniRef100_A0A1G7Q5M8	A0A1G7Q5M8	uniprot	1082479	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhodovibrionaceae;Limimonas
UniRef100_A0A1H7P8E5	A0A1H7P8E5	uniprot	1233	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosovibrio
UniRef100_A0A1H7WVI7	A0A1H7WVI7	uniprot	43775	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophales;Syntrophaceae;Syntrophus
UniRef100_A0A1I2ZQH6	A0A1I2ZQH6	uniprot	1855333	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;unclassified Nitrosospira
UniRef100_A0A1V5D475	A0A1V5D475	uniprot	1811704	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophorhabdales;Syntrophorhabdaceae;Syntrophorhabdus;unclassified Syntrophorhabdus
UniRef100_A0A251X9X8	A0A251X9X8	uniprot	1570016	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichales incertae sedis;Thioflexithrix
UniRef100_A0A2N9YA15	A0A2N9YA15	uniprot	288004	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Beggiatoa
UniRef100_A0A2T5JWD9	A0A2T5JWD9	uniprot	136548	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;unclassified Nitrosospira
UniRef100_A0A2U3JXK8	A0A2U3JXK8	uniprot	2043167	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;unclassified Syntrophobacter
UniRef100_A0A357IFU3	A0A357IFU3	uniprot	1913989	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria
UniRef100_A0A3A5ASH6	A0A3A5ASH6	uniprot	2049433	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;unclassified Desulfobacteraceae
UniRef100_A0A3A6NXQ9	A0A3A6NXQ9	uniprot	2093369	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfurivibrio;unclassified Desulfurivibrio
UniRef100_A0A3B1D331	A0A3B1D331	uniprot	652676	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes
UniRef100_A0A3C1FSM5	A0A3C1FSM5	uniprot	2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae
UniRef100_A0A3C1FW81	A0A3C1FW81	uniprot	2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae
UniRef100_A0A3C1FWR3	A0A3C1FWR3	uniprot	2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae
UniRef100_A0A3D1BKW8	A0A3D1BKW8	uniprot	2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae
UniRef100_A0A3N5IS64	A0A3N5IS64	uniprot	2049433	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;unclassified Desulfobacteraceae
UniRef100_A0A3N5Z179	A0A3N5Z179	uniprot	2026735	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria
UniRef100_A0A3S0WML2	A0A3S0WML2	uniprot	2053538	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria incertae sedis;Candidatus Competibacteraceae;unclassified Candidatus Competibacteraceae
UniRef100_A0A419J5L4	A0A419J5L4	uniprot	2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae
UniRef100_A0A495V5S6	A0A495V5S6	uniprot	69360	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiocapsa
UniRef100_A0A4E0QWY4	A0A4E0QWY4	uniprot	1003181	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiomargarita
UniRef100_A0A4P7C0E6	A0A4P7C0E6	uniprot	1814290	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus
UniRef100_A0A4R3MYP0	A0A4R3MYP0	uniprot	127458	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiobaca
UniRef100_A0A4R4A5P0	A0A4R4A5P0	uniprot	1048	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Marichromatium
UniRef100_A0A522V264	A0A522V264	uniprot	2026887	cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae
UniRef100_A0A564ZLN2	A0A564ZLN2	uniprot	2211376	cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division NC10;Candidatus Methylomirabilis
UniRef100_A0A5B8N5U1	A0A5B8N5U1	uniprot	2601898	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;unclassified Noviherbaspirillum
UniRef100_A0A5M8FRV3	A0A5M8FRV3	uniprot	424902	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiohalocapsa
UniRef100_A0A6C1SX04	A0A6C1SX04	uniprot	2026786	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales
UniRef100_A0A6I7Q5T8	A0A6I7Q5T8	uniprot	2049432	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;unclassified Chromatiaceae
UniRef100_A0A6M0JYE8	A0A6M0JYE8	uniprot	57489	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiorhodococcus
UniRef100_A0A6M1Y8B5	A0A6M1Y8B5	uniprot	2713569	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Wenzhouxiangellaceae;Wenzhouxiangella;unclassified Wenzhouxiangella
UniRef100_A0A6N2E5P3	A0A6N2E5P3	uniprot	2026786	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales
UniRef100_A0A7C2K4T7	A0A7C2K4T7	uniprot	2024963	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Caldimicrobium;unclassified Caldimicrobium
UniRef100_A0A7C3Y5Z6	A0A7C3Y5Z6	uniprot	2026735	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria
UniRef100_A0A7C4MQL9	A0A7C4MQL9	uniprot	2026887	cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae
UniRef100_A0A7C8AQ72	A0A7C8AQ72	uniprot	2026735	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria
