	seqid	db	taxid	lineage	lineage_taxonkit	k	p	c	o	f	g	s	p_r
WP_052289956.1	NA	NA	1245922.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Scytonemataceae;g__Scytonema;s__Scytonema millei	Bacteria	Cyanobacteria	NA	Nostocales	Scytonemataceae	Scytonema	Scytonema millei	Cyanobacteria
Synechococcus_PCC_6716	NA	NA	32048.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. PCC 6716	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 6716	Cyanobacteria
Synechococcus_PCC_6717	NA	NA	115741.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. PCC 6717	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 6717	Cyanobacteria
NZ_CP018092.1_prot_WP_099799411.1_2103	NA	NA	33070.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Thermostichales;f__Thermostichaceae;g__Thermostichus;s__Thermostichus lividus	Bacteria	Cyanobacteria	NA	Thermostichales	Thermostichaceae	Thermostichus	Thermostichus lividus	Cyanobacteria
Cyanothece_sp_PCC_7425	NA	NA	395961.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Cyanothecaceae;g__Cyanothece;s__Cyanothece sp. PCC 7425	Bacteria	Cyanobacteria	NA	Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. PCC 7425	Cyanobacteria
NZ_AP018202.1_prot_WP_126984835.1_8	NA	NA	32053.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Thermostichales;f__Thermostichaceae;g__Thermostichus;s__Thermostichus vulcanus	Bacteria	Cyanobacteria	NA	Thermostichales	Thermostichaceae	Thermostichus	Thermostichus vulcanus	Cyanobacteria
NZ_JJML01000036.1_prot_WP_052128762.1_2284	NA	NA	1501145.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Neosynechococcus;s__Neosynechococcus sphagnicola	Bacteria	Cyanobacteria	NA	Pseudanabaenales	Leptolyngbyaceae	Neosynechococcus	Neosynechococcus sphagnicola	Cyanobacteria
CP006735.1_prot_AHB89148.1_1755	NA	NA	1394889.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Pseudanabaenales;f__Thermosynechococcaceae;g__Thermosynechococcus;s__Thermosynechococcus sp. NK55a	Bacteria	Cyanobacteria	NA	Pseudanabaenales	Thermosynechococcaceae	Thermosynechococcus	Thermosynechococcus sp. NK55a	Cyanobacteria
NZ_CH724158.1_prot_WP_007100847.1_828	NA	NA	221360.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. RS9917	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. RS9917	Cyanobacteria
NZ_ADXL01000065.1_prot_WP_010309903.1_1141	NA	NA	232348.0	NA	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. CB0101	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CB0101	Cyanobacteria
