Community	Community Rep	Rep degree	Community Size	subgraph	Rep Degree	mean_seq_len	longest_seqs	longest_len	shortest_seqs	shortest_len	prefix	_commu	community_track	IPRS	IPRS_Functions	DomainMapper_Ecod	DomainMapper_Functions
C3	UniRef100_A0A1M3N6F4	0	1	Subgraph_178	0	163.0	UniRef100_A0A1M3N6F4	163	UniRef100_A0A1M3N6F4	163	us	3	us_C3	NA	NA	NA	NA
C4	UniRef100_A0A1H0C0W7	12	18	Subgraph_17	12	194.11111111111111	UniRef100_A0A6P1HK34	202	UniRef100_A0A0A5GGF7;UniRef100_A0A1L3MRH9;UniRef100_A0A4U1MMA2;UniRef100_A0A0U1NTS5;UniRef100_A0A2N5GYE4	190	ubc	4	ubc_C4	NA	NA	NA	NA
C5	UniRef100_A0A662ZLY5	4	5	Subgraph_52	4	218.8	UniRef100_R5EHL9	222	UniRef100_A0A662ZMY2	210	ubc	5	ubc_C5	NA	NA	NA	NA
C6	UniRef100_A0A0R1VKN6	0	1	Subgraph_179	0	487.0	UniRef100_A0A0R1VKN6	487	UniRef100_A0A0R1VKN6	487	us	6	us_C6	IPR001757;IPR008250;IPR023214;IPR023299	P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;P-type_ATPase_Cu-like
C7	UniRef100_A0A4Q5L4V0	4	5	Subgraph_53	4	795.8	UniRef100_A0A5Q0BFQ5	821	UniRef100_A0A858QAA3	786	sc	7	sc_C7	IPR008250;IPR023299;IPR023214;IPR036412	P-type ATPase, A domain superfamily;P-type ATPase, cytoplasmic domain N;HAD superfamily;HAD-like superfamily	10.13.1.2;2006.1.1.42	E1-E2_ATPase_N;Hydrolase_3_1
C8	UniRef100_A0A0Q2LFJ6	1	2	Subgraph_111	1	513.0	UniRef100_R4MJ22	527	UniRef100_A0A0Q2LFJ6	499	s	8	s_C8	IPR023298;IPR001757;IPR008250;IPR023214	P-type ATPase, transmembrane domain superfamily;P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily	5073.1.2.3;10.13.1.2	E1-E2_ATPase_C;E1-E2_ATPase_N
C9	UniRef100_A0A1T4W1Y9	2	3	Subgraph_78	2	80.66666666666667	UniRef100_A0A525BXK2	83	UniRef100_A0A1T4W1Y9	79	usc	9	usc_C9	NA	NA	NA	NA
C10	UniRef100_A0A7L6A3I7	0	1	Subgraph_180	0	148.0	UniRef100_A0A7L6A3I7	148	UniRef100_A0A7L6A3I7	148	us	10	us_C10	NA	NA	NA	NA
C12	UniRef100_A0A3M2AGN7	0	1	Subgraph_181	0	166.0	UniRef100_A0A3M2AGN7	166	UniRef100_A0A3M2AGN7	166	us	12	us_C12	NA	NA	NA	NA
C396	UniRef100_A0A3D2YH28	4	5	Subgraph_54	4	101.8	UniRef100_A0A3D2YH28	118	UniRef100_A0A349DCI7	73	sc	396	sc_C396	NA	NA	NA	NA
