Accession	E-Value	Residue Range	Property	Architecture	X-group	T-group	Desc	Code	Tool	Community	Community Size	Community Rep	Seq length (aa)	Taxonomy	Taxonomy detail
UniRef100_A0A2U0AB95	7.440000000000001e-73	113-220,743-988	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Calcium ATPase transmembrane domain M	Cation_ATPase_C	5073.1.1.14	DomainMapper	C223	1	UniRef100_A0A2U0AB95	1000	Proteobacteria	Proteobacteria
UniRef100_A0A2U0AB95	3e-33	225-334	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C223	1	UniRef100_A0A2U0AB95	1000	Proteobacteria	Proteobacteria
UniRef100_A0A2U0AB95	6.9e-47	431-444,633-778	IS NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C223	1	UniRef100_A0A2U0AB95	1000	Proteobacteria	Proteobacteria
UniRef100_A0A2U0AB95	7.600000000000001e-36	445-634	IS	a+b complex topology	Metal cation-transporting ATPase, ATP-binding domain	Metal cation-transporting ATPase, ATP-binding domain	Cation_ATPase	267.1.1.3	DomainMapper	C223	1	UniRef100_A0A2U0AB95	1000	Proteobacteria	Proteobacteria
UniRef100_A0A257N2D6	3e-15	109-170	NA	a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	DomainMapper	C729	1	UniRef100_A0A257N2D6	500	Proteobacteria	Proteobacteria
UniRef100_A0A257N2D6	1.8e-49	199-279,379-494	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C729	1	UniRef100_A0A257N2D6	500	Proteobacteria	Proteobacteria
UniRef100_A0A257N2D6	3.5000000000000003e-29	320-415	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C729	1	UniRef100_A0A257N2D6	500	Proteobacteria	Proteobacteria
UniRef100_A0A3D4GJL6	6.709999999999999e-23	224-274,363-474,715-791	NC	alpha bundles	Calcium ATPase transmembrane domain-related	Copper efflux ATPase transmembrane domain	E1-E2_ATPase_C	5073.1.2.3	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	822	Proteobacteria	Proteobacteria
UniRef100_A0A3D4GJL6	1.7e-21	310-399	IS	beta sandwiches	jelly-roll	Calcium ATPase, transduction domain A	E1-E2_ATPase_N	10.13.1.2	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	822	Proteobacteria	Proteobacteria
UniRef100_A0A3D4GJL6	1.7e-40	488-502,620-735	IS NC	a/b three-layered sandwiches	HAD domain-like	HAD-like	Hydrolase_3_1	2006.1.1.42	DomainMapper	C525	61	UniRef100_A0A5C7KBI4	822	Proteobacteria	Proteobacteria
