#===========================================================================================
#  DOMAIN MAPPER v3.0.2
#  Johns Hopkins Univeristy - September 22nd, 2022
#  Edgar Manriquez-Sandoval, M.S. - Dept. of Biophysics
#  emanriq1@jhu.edu
#  & 
#  Stephen D. Fried, Ph.D. - Dept. of Chemistry
#  sdfried@jhu.edu
#===========================================================================================
#  Excecuted on:
#               2023-04-24 17:07:28.170652
#  Input HMM: 
#               C624.fasta_hmmscan_output.hmm.out
#  Output:
#               C624.fasta_hmmscan_output.mapped.out
#  Options:
#               Intra domain gap = 30
#               Inter domain gap = 30
#               overlap = 40
#               E-value cutoff = 1.00e-05
#  Domain Counts:
#               Total Proteins:     46         Total Domains:      22
#                                                        NC :   0 (0.00%)
#                                                        CP :   0 (0.00%)
#                                                        IS :   0 (0.00%)
#  Property Definitions:
#               CP = Circular Permutant Domain
#               NC = Non-Contiguous Domain
#               IS = InSertional Domain
#===========================================================================================
# Accession	E-Value	Residue Range	Property	Architecture	X-group	T-group	F-group	F-id
UniRef100_X8HQE8	7.00e-06	35-71		beta barrels	SH3	SH3	DUF2862	4.1.1.279	
UniRef100_V5WE85	4.20e-06	55-95		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_A0A7I8MY82	9.30e-06	58-91		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_A0A424Y428	1.60e-08	60-105		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_A0A173Y789	9.40e-07	72-111		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_D0GJ78	1.40e-06	14-46		alpha bundles	alpha-helical domain in AF1104-like proteins	alpha-helical domain in AF1104-like proteins	KTI12	4009.1.1.3	
UniRef100_A0A2V2ENV7	6.60e-06	45-109		a+b two layers	Alpha-beta plaits	EF-G C-terminal domain-like	EUF08356	304.24.1.27	
UniRef100_A0A0M1VUA0	2.30e-06	14-117		a/b three-layered sandwiches	HUP domain-like	HUP domains	tRNA-synt_1d	2005.1.1.141	
UniRef100_C6JML8	1.60e-06	23-68		alpha bundles	N-cbl like	Plasmodium host cell traversal protein SPECT1	EUF08137	611.11.1.1	
UniRef100_A0A7T0GK02	1.50e-06	72-111		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_E0E4T8	2.50e-07	76-115		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_A0A6C1PLR7	1.10e-07	58-100		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_A0A3D1UCM0	2.70e-08	47-85		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_A0A1I1YVY6	7.60e-07	77-115		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_A0A1H3MDK4	1.20e-08	60-105		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_A0A120KNS9	2.30e-06	20-46		alpha bundles	alpha-helical domain in AF1104-like proteins	alpha-helical domain in AF1104-like proteins	KTI12	4009.1.1.3	
UniRef100_A0A851IRV9	4.30e-06	5-52		a+b two layers	amino-terminal domain of OmpATb	amino-terminal domain of OmpATb	Yop-YscD_ppl_2nd	3261.1.1.3	
UniRef100_A0A3D5IF75	6.00e-06	64-104		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_A0A2G6CKA1	1.20e-06	56-95		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_A0A7T8V3I4	1.10e-06	65-108		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_A0A450TA22	1.30e-07	61-101		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
UniRef100_A0A2M7KLA2	3.20e-08	52-91		a+b two layers	Alpha-beta plaits	HMA, heavy metal-associated domain	HMA	304.3.1.7	
