sequence_id	sequence_src	hit_target_len	hit_start	hit_stop	hit_e_value	hit_pident	hit_coverage	hit_method	hit_src
WP_052289956.1	cobahma-fl-sequences-nr.fasta	61	122	181	1.157e-23	0.43	0.97	hmmsearch	Gly1
WP_052289956.1	cobahma-fl-sequences-nr.fasta	61	212	254	3.665e-11	0.55	0.69	hmmsearch	Gly1
WP_052289956.1	cobahma-fl-sequences-nr.fasta	61	278	308	3.807e-06	0.58	0.49	hmmsearch	Gly1
WP_052289956.1	cobahma-fl-sequences-nr.fasta	60	130	184	3.268e-09	0.69	0.9	hmmsearch	Gly2
WP_052289956.1	cobahma-fl-sequences-nr.fasta	60	201	256	2.444e-25	0.45	0.92	hmmsearch	Gly2
WP_052289956.1	cobahma-fl-sequences-nr.fasta	60	276	310	5.573e-07	0.66	0.57	hmmsearch	Gly2
WP_052289956.1	cobahma-fl-sequences-nr.fasta	57	18	28	4.939	0.55	0.18	hmmsearch	Gly3
WP_052289956.1	cobahma-fl-sequences-nr.fasta	57	126	148	0.01214	0.65	0.39	hmmsearch	Gly3
WP_052289956.1	cobahma-fl-sequences-nr.fasta	57	142	172	0.008642	0.68	0.53	hmmsearch	Gly3
WP_052289956.1	cobahma-fl-sequences-nr.fasta	57	207	250	1.245e-06	0.68	0.75	hmmsearch	Gly3
WP_052289956.1	cobahma-fl-sequences-nr.fasta	57	266	320	1.22e-26	0.55	0.95	hmmsearch	Gly3
UniRef100_A0A433VEI5	cobahma-fl-sequences-nr.fasta	61	122	180	8.141e-24	0.41	0.95	hmmsearch	Gly1
UniRef100_A0A433VEI5	cobahma-fl-sequences-nr.fasta	61	213	255	5.636e-11	0.53	0.69	hmmsearch	Gly1
UniRef100_A0A433VEI5	cobahma-fl-sequences-nr.fasta	61	278	307	7.284e-05	0.57	0.48	hmmsearch	Gly1
UniRef100_A0A433VEI5	cobahma-fl-sequences-nr.fasta	60	130	184	1.067e-09	0.69	0.9	hmmsearch	Gly2
UniRef100_A0A433VEI5	cobahma-fl-sequences-nr.fasta	60	201	258	2.106e-25	0.47	0.95	hmmsearch	Gly2
UniRef100_A0A433VEI5	cobahma-fl-sequences-nr.fasta	60	278	310	3.176e-06	0.61	0.53	hmmsearch	Gly2
UniRef100_A0A433VEI5	cobahma-fl-sequences-nr.fasta	57	10	28	8.139	0.74	0.32	hmmsearch	Gly3
UniRef100_A0A433VEI5	cobahma-fl-sequences-nr.fasta	57	126	148	0.03054	0.7	0.39	hmmsearch	Gly3
UniRef100_A0A433VEI5	cobahma-fl-sequences-nr.fasta	57	141	172	0.007358	0.66	0.54	hmmsearch	Gly3
UniRef100_A0A433VEI5	cobahma-fl-sequences-nr.fasta	57	207	250	7.277e-07	0.68	0.75	hmmsearch	Gly3
UniRef100_A0A433VEI5	cobahma-fl-sequences-nr.fasta	57	266	318	6.117e-26	0.55	0.91	hmmsearch	Gly3
Chroococcidiopsis_thermalis_PCC_7203	cobahma-fl-sequences-nr.fasta	61	122	180	8.104e-24	0.41	0.95	hmmsearch	Gly1
Chroococcidiopsis_thermalis_PCC_7203	cobahma-fl-sequences-nr.fasta	61	213	254	2.042e-10	0.54	0.67	hmmsearch	Gly1
Chroococcidiopsis_thermalis_PCC_7203	cobahma-fl-sequences-nr.fasta	61	278	307	7.256e-05	0.57	0.48	hmmsearch	Gly1
Chroococcidiopsis_thermalis_PCC_7203	cobahma-fl-sequences-nr.fasta	60	130	184	1.062e-09	0.69	0.9	hmmsearch	Gly2
Chroococcidiopsis_thermalis_PCC_7203	cobahma-fl-sequences-nr.fasta	60	201	259	7.001e-26	0.47	0.97	hmmsearch	Gly2
Chroococcidiopsis_thermalis_PCC_7203	cobahma-fl-sequences-nr.fasta	60	278	310	2.277e-06	0.61	0.53	hmmsearch	Gly2
Chroococcidiopsis_thermalis_PCC_7203	cobahma-fl-sequences-nr.fasta	57	10	28	8.111	0.74	0.32	hmmsearch	Gly3
Chroococcidiopsis_thermalis_PCC_7203	cobahma-fl-sequences-nr.fasta	57	126	148	0.03056	0.7	0.39	hmmsearch	Gly3
