Identifiant	Fasta_Identifiant	Beginning_Domain	End_Domain	Iteration_0	Iteration_1	Iteration_2	Iteration_3	Iteration_4	Iteration_5	Iteration_6	For_Next_Iteration	Manual_Verification	True_CoBaHMA
UniRef100_A0A3D0HEL5	UniRef100_A0A3D0HEL5_0	70	175	True	True	True	True	True	True	True	False	False (2HMA)	False
UniRef100_A0A3C0CS71	UniRef100_A0A3C0CS71_0	137	218	True	True	True	True	True	True	False	False	False (2 HMA)	False
UniRef100_A0A3B8WC05	UniRef100_A0A3B8WC05_0	75	157	False	True	True	True	True	False	False	False	False (2HMA)	False
UniRef100_A0A2K3JFT2	UniRef100_A0A2K3JFT2_0	64	156	False	True	True	True	True	False	False	False	False (2HMA)	False
UniRef100_X1TLJ1	UniRef100_X1TLJ1_0	60	145	False	True	True	True	True	False	False	False	False (2HMA)	False
UniRef100_A0A850MI28	UniRef100_A0A850MI28_0	61	166	False	True	True	True	True	False	False	False	False (2HMA)	False
UniRef100_A0A7V4PQ84	UniRef100_A0A7V4PQ84_0	59	136	False	True	True	True	True	False	False	False	False (2HMA)	False
UniRef100_A0A2E0W6R7	UniRef100_A0A2E0W6R7_0	98	167	False	True	True	True	False	False	False	False	False (HMA+wierd)	False
UniRef100_A0A3B0UMG9	UniRef100_A0A3B0UMG9_0	98	167	False	True	True	True	False	False	False	False	False (HMA+wierd)	False
UniRef100_A0A0C9NKC1	UniRef100_A0A0C9NKC1_0	92	193	False	True	True	True	True	False	False	False	False (3 HMA)	False
UniRef100_A0A2K3CU24	UniRef100_A0A2K3CU24_0	193	269	False	True	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A427AHR7	UniRef100_A0A427AHR7_0	1	65	False	True	True	False	False	False	False	False	False (WTF)	False
UniRef100_A0A135VSB9	UniRef100_A0A135VSB9_0	64	182	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A835Y0A6	UniRef100_A0A835Y0A6_0	180	268	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_D8TGZ7	UniRef100_D8TGZ7_0	150	251	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A3M1F3G9	UniRef100_A0A3M1F3G9_0	54	140	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A438J1E5	UniRef100_A0A438J1E5_0	182	275	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_Q557B5	UniRef100_Q557B5_0	408	549	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A3M5YQ46	UniRef100_A0A3M5YQ46_0	87	178	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A183J9B2	UniRef100_A0A183J9B2_0	110	198	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A7C2HS80	UniRef100_A0A7C2HS80_0	53	144	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A0F8WD36	UniRef100_A0A0F8WD36_0	59	155	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A842RMY5	UniRef100_A0A842RMY5_0	59	162	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A850MDW7	UniRef100_A0A850MDW7_0	65	146	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A6I6JRW5	UniRef100_A0A6I6JRW5_0	97	166	False	False	True	True	False	False	False	False	False (HMA+weird)	False
UniRef100_A0A842VQA7	UniRef100_A0A842VQA7_0	60	145	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A842T7Y0	UniRef100_A0A842T7Y0_0	60	147	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A6A4UT62	UniRef100_A0A6A4UT62_0	101	170	False	False	True	True	False	False	False	False	False (HMA+weird)	False
UniRef100_A0A7V4U2B5	UniRef100_A0A7V4U2B5_0	99	172	False	False	True	True	False	False	False	False	False (HMA+weird)	False
UniRef100_A0A2N7Q254	UniRef100_A0A2N7Q254_0	54	165	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A850LWC2	UniRef100_A0A850LWC2_0	60	145	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A4Y1RGM5	UniRef100_A0A4Y1RGM5_0	192	271	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A3M1DFD1	UniRef100_A0A3M1DFD1_0	118	227	False	False	True	True	True	False	False	False	False (2 HMA)	False
UniRef100_A0A7C1QSX3	UniRef100_A0A7C1QSX3_0	59	149	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A524CY45	UniRef100_A0A524CY45_0	65	149	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A550HAM6	UniRef100_A0A550HAM6_0	65	149	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_X1FQZ7	UniRef100_X1FQZ7_0	59	142	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A524EXF6	UniRef100_A0A524EXF6_0	61	146	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A7K4HH17	UniRef100_A0A7K4HH17_0	60	145	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A5C9DVX9	UniRef100_A0A5C9DVX9_0	59	144	False	False	True	True	False	False	False	False	False (2 HMA)	False
UniRef100_A0A524CKH0	UniRef100_A0A524CKH0_0	60	145	False	False	True	True	False	False	False	False	False (2 HMA)	False
