sequence_id	sequence_src	hit_target_len	hit_start	hit_stop	hit_e_value	hit_pident	hit_coverage	hit_method	hit_src
Synechococcus_PCC_6717	cobahma-fl-sequences-nr.fasta	226	106	320	2.327e-81	0.5	0.95	hmmsearch	Glyx3
Synechococcus_PCC_6716	cobahma-fl-sequences-nr.fasta	226	106	320	2.529e-81	0.5	0.95	hmmsearch	Glyx3
NZ_CP018092.1_prot_WP_099799411.1_2103	cobahma-fl-sequences-nr.fasta	226	106	320	2.956e-81	0.5	0.95	hmmsearch	Glyx3
UniRef100_A0A2D2Q3J4	cobahma-fl-sequences-nr.fasta	226	106	320	2.956e-81	0.5	0.95	hmmsearch	Glyx3
UniRef100_A0A5C2M6G8	cobahma-fl-sequences-nr.fasta	226	106	319	8.399e-81	0.48	0.94	hmmsearch	Glyx3
Thermosynechococcus_elongatus	cobahma-fl-sequences-nr.fasta	226	106	319	6.211e-79	0.48	0.94	hmmsearch	Glyx3
UniRef100_Q8DMV2	cobahma-fl-sequences-nr.fasta	226	106	319	6.211e-79	0.48	0.94	hmmsearch	Glyx3
NZ_AP018202.1_prot_WP_126984835.1_8	cobahma-fl-sequences-nr.fasta	226	106	319	6.211e-79	0.48	0.94	hmmsearch	Glyx3
UniRef100_A0A3M2FQJ0	cobahma-fl-sequences-nr.fasta	226	106	319	3.002e-78	0.5	0.94	hmmsearch	Glyx3
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	226	106	322	2.968e-78	0.51	0.96	hmmsearch	Glyx3
CP006735.1_prot_AHB89148.1_1755	cobahma-fl-sequences-nr.fasta	226	366	394	129.4	0.72	0.12	hmmsearch	Glyx3
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	226	106	322	2.968e-78	0.51	0.96	hmmsearch	Glyx3
UniRef100_V5V6W9	cobahma-fl-sequences-nr.fasta	226	366	394	129.4	0.72	0.12	hmmsearch	Glyx3
Candidatus_Synechococcus_calcipolaris	cobahma-fl-sequences-nr.fasta	226	111	346	5.917e-77	0.5	1.04	hmmsearch	Glyx3
Cyanothece_sp_PCC_7425	cobahma-fl-sequences-nr.fasta	226	142	363	8.167e-77	0.48	0.98	hmmsearch	Glyx3
UniRef100_B8HLW5	cobahma-fl-sequences-nr.fasta	226	142	363	8.167e-77	0.48	0.98	hmmsearch	Glyx3
Synechococcus_sp_PCC_6312	cobahma-fl-sequences-nr.fasta	226	117	346	8.985e-77	0.53	1.01	hmmsearch	Glyx3
UniRef100_K9S008	cobahma-fl-sequences-nr.fasta	226	117	346	8.985e-77	0.53	1.01	hmmsearch	Glyx3
WP_052289956.1	cobahma-fl-sequences-nr.fasta	226	118	331	6.212e-73	0.56	0.94	hmmsearch	Glyx3
Chroococcidiopsis_thermalis_PCC_7203	cobahma-fl-sequences-nr.fasta	226	117	329	3.739e-71	0.57	0.94	hmmsearch	Glyx3
UniRef100_A0A433VEI5	cobahma-fl-sequences-nr.fasta	226	117	332	5.777e-71	0.55	0.95	hmmsearch	Glyx3
NZ_JJML01000036.1_prot_WP_052128762.1_2284	cobahma-fl-sequences-nr.fasta	226	117	340	3.038e-69	0.61	0.99	hmmsearch	Glyx3
UniRef100_A0A098TJ90	cobahma-fl-sequences-nr.fasta	226	117	340	3.038e-69	0.61	0.99	hmmsearch	Glyx3
MWMJ01000016.1_prot_OUE49294.1_331	cobahma-fl-sequences-nr.fasta	226	73	261	2.936e-51	0.64	0.83	hmmsearch	Glyx3
NZ_ADXL01000065.1_prot_WP_010309903.1_1141	cobahma-fl-sequences-nr.fasta	226	83	288	2.77e-51	0.67	0.91	hmmsearch	Glyx3
NZ_CH724158.1_prot_WP_007100847.1_828	cobahma-fl-sequences-nr.fasta	226	101	300	2.455e-49	0.69	0.88	hmmsearch	Glyx3
UniRef100_A3Z4P0	cobahma-fl-sequences-nr.fasta	226	101	300	2.455e-49	0.69	0.88	hmmsearch	Glyx3
UniRef100_A0A2H2XBG2	cobahma-fl-sequences-nr.fasta	226	126	277	8.895e-44	0.58	0.67	hmmsearch	Glyx3
UniRef100_B7KAL3	cobahma-fl-sequences-nr.fasta	226	138	283	2.21e-29	0.66	0.64	hmmsearch	Glyx3
UniRef100_A0A6G9SA77	cobahma-fl-sequences-nr.fasta	226	260	397	6.958e-22	0.67	0.61	hmmsearch	Glyx3
UniRef100_A0A5P8WCE2	cobahma-fl-sequences-nr.fasta	226	262	397	1.43e-20	0.65	0.6	hmmsearch	Glyx3
UniRef100_I4GUZ5	cobahma-fl-sequences-nr.fasta	226	123	238	2.217e-18	0.59	0.51	hmmsearch	Glyx3
UniRef100_S3JA02	cobahma-fl-sequences-nr.fasta	226	123	228	1.208e-17	0.61	0.46	hmmsearch	Glyx3
UniRef100_E0UKM3	cobahma-fl-sequences-nr.fasta	226	161	286	1.084e-15	0.73	0.55	hmmsearch	Glyx3
UniRef100_B7KAK9	cobahma-fl-sequences-nr.fasta	226	133	258	7.565e-14	0.74	0.55	hmmsearch	Glyx3
UniRef100_A0A0S3UCN3	cobahma-fl-sequences-nr.fasta	226	559	619	4.761e-09	0.69	0.27	hmmsearch	Glyx3
UniRef100_A0A2K8T6N3	cobahma-fl-sequences-nr.fasta	226	109	180	0.0001404	0.75	0.31	hmmsearch	Glyx3
UniRef100_A0A2K8T6N3	cobahma-fl-sequences-nr.fasta	226	202	238	299.1	0.78	0.16	hmmsearch	Glyx3
